,glob_loss,glob_acc,local_loss,local_acc
0,2.381290736687183,10.42628,"[1.857323408126831, 2.6477062702178955, 2.6632752418518066, 2.288543462753296, 1.9103829860687256, 2.764540672302246, 2.5357131958007812, 1.8552496433258057, 2.8424460887908936, 2.4715027809143066]","[44.6, 0.0, 0.0, 0.0, 28.8, 0.0, 0.0, 29.8, 0.0, 0.0]"
1,2.315131584179402,11.947615,"[1.9979286193847656, 2.480654716491699, 2.4827589988708496, 2.314471960067749, 1.9313993453979492, 2.6599316596984863, 2.420952320098877, 2.1172659397125244, 2.5370898246765137, 2.2326231002807617]","[38.2, 0.0, 0.0, 0.8, 74.0, 0.0, 0.0, 4.5, 0.0, 0.0]"
2,2.308328987181187,12.003660000000002,"[1.9617443084716797, 2.505469560623169, 2.4639601707458496, 2.3519999980926514, 2.0433425903320312, 2.6551461219787598, 2.4281258583068848, 2.156872034072876, 2.3837780952453613, 2.157705783843994]","[83.7, 0.0, 0.0, 0.0, 32.8, 0.0, 0.0, 0.7, 0.0, 0.3]"
3,2.311229908311367,11.527800000000001,"[2.026428699493408, 2.4723615646362305, 2.436903715133667, 2.3667562007904053, 1.99961256980896, 2.5425832271575928, 2.4649360179901123, 2.145009994506836, 2.3966798782348633, 2.2793173789978027]","[40.0, 0.0, 0.0, 0.0, 73.2, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,2.3144304918468,10.28543,"[1.9790023565292358, 2.4646663665771484, 2.4480483531951904, 2.321749210357666, 2.0928902626037598, 2.6438491344451904, 2.432968854904175, 2.1696419715881348, 2.498178720474243, 2.117295742034912]","[99.8, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.2]"
5,2.310030524718761,11.881800000000002,"[2.018214702606201, 2.4066483974456787, 2.3718504905700684, 2.3819072246551514, 1.9901225566864014, 2.5942821502685547, 2.5022776126861572, 2.2203292846679688, 2.326638698577881, 2.3092222213745117]","[28.0, 0.0, 0.0, 0.0, 88.8, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,2.314680886113644,11.33664,"[2.0352330207824707, 2.459085464477539, 2.44547438621521, 2.242455005645752, 2.210421562194824, 2.7040157318115234, 2.4295592308044434, 2.191347599029541, 2.4451351165771484, 2.009002685546875]","[33.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 77.7]"
7,2.3159349535107614,10.15,"[2.0423152446746826, 2.3887641429901123, 2.353565216064453, 2.3890674114227295, 1.8681399822235107, 2.625225067138672, 2.552854537963867, 2.3061444759368896, 2.277536153793335, 2.3797290325164795]","[0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,2.320124544811249,10.16,"[2.0890939235687256, 2.556652069091797, 2.4864680767059326, 2.216111183166504, 2.337817668914795, 2.6797566413879395, 2.3633716106414795, 2.262737512588501, 2.3911657333374023, 1.8424968719482422]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0]"
9,2.3304373331308366,10.15,"[2.031585216522217, 2.278501510620117, 2.3012492656707764, 2.5265109539031982, 1.775251865386963, 2.634706735610962, 2.67671799659729, 2.2563564777374268, 2.2827014923095703, 2.563699245452881]","[0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
