,glob_loss,glob_acc,local_loss,local_acc
0,2.520841307044029,9.919205000000002,"[1.874424695968628, 3.1742541790008545, 2.517929792404175, 1.646744966506958, 3.2281742095947266, 1.4835500717163086, 2.6202728748321533, 3.068904399871826, 2.8123080730438232, 2.758263111114502]","[2.4, 0.0, 0.0, 23.3, 0.0, 75.9, 0.0, 0.0, 0.0, 0.0]"
1,2.340747454208136,10.622489999999999,"[1.734573245048523, 2.758936643600464, 2.348508596420288, 2.0810203552246094, 2.6791083812713623, 2.1761462688446045, 2.461555004119873, 2.684523105621338, 2.3682947158813477, 2.128718852996826]","[98.6, 0.0, 0.0, 4.6, 0.4, 0.0, 0.0, 0.0, 0.0, 0.2]"
2,2.298401071321964,9.978699999999998,"[2.225184917449951, 2.3170440196990967, 2.316397190093994, 2.376887321472168, 2.0424301624298096, 2.3236892223358154, 2.4354095458984375, 2.373373508453369, 2.3092222213745117, 2.273310661315918]","[3.2, 0.3, 0.0, 0.1, 93.1, 0.0, 0.6, 0.0, 0.0, 1.0]"
3,2.3098875855326653,10.275395,"[1.8148422241210938, 2.4787089824676514, 2.37199330329895, 2.170048952102661, 2.551509380340576, 2.3460946083068848, 2.4976184368133545, 2.5612003803253174, 2.2392520904541016, 2.0862436294555664]","[99.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4]"
4,2.2983676870465275,10.15,"[2.4404220581054688, 2.346207857131958, 2.3570945262908936, 2.443936586380005, 1.8584970235824585, 2.2117068767547607, 2.283782958984375, 2.2662343978881836, 2.362161159515381, 2.411581516265869]","[0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,2.355088129389286,10.245,"[1.6069114208221436, 2.328267812728882, 2.444882869720459, 2.1626744270324707, 2.949697494506836, 2.5317513942718506, 2.784990072250366, 2.759697675704956, 2.0837929248809814, 1.9298686981201172]","[100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,2.358314543569088,10.15,"[2.9082162380218506, 2.6566357612609863, 2.354743480682373, 2.468433380126953, 1.6754581928253174, 1.9663136005401611, 2.066800594329834, 2.078336000442505, 2.6606669425964355, 2.719101905822754]","[0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,2.443353585147858,10.245,"[1.4956433773040771, 2.0604710578918457, 2.5361831188201904, 2.3152225017547607, 3.209209442138672, 3.0000686645507812, 3.1070730686187744, 3.092888593673706, 1.8492827415466309, 1.8227523565292358]","[100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,2.367375379616022,11.708100000000002,"[2.85664439201355, 2.911980390548706, 2.2737603187561035, 2.202117443084717, 1.8792531490325928, 1.8887783288955688, 2.0452325344085693, 2.002039670944214, 2.889535903930664, 2.6902520656585693]","[0.0, 0.0, 0.0, 0.0, 67.5, 50.2, 0.0, 0.0, 0.0, 0.0]"
9,2.3984866509854794,10.245,"[1.5722068548202515, 2.0347468852996826, 2.5771408081054688, 2.5306785106658936, 2.5932116508483887, 2.994715690612793, 3.0506539344787598, 2.9826653003692627, 1.8053085803985596, 1.9027999639511108]","[100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,2.337253114157915,11.786064999999999,"[2.747905731201172, 2.772331714630127, 2.189069986343384, 2.017982244491577, 2.169846773147583, 1.9707742929458618, 2.0832579135894775, 2.0163381099700928, 2.8825812339782715, 2.4926822185516357]","[0.0, 0.0, 0.0, 13.7, 0.0, 87.1, 0.5, 19.7, 0.0, 0.0]"
