,glob_loss,glob_acc,local_loss,local_acc
0,2.3496087308883666,10.24922,"[2.5388259887695312, 1.8676064014434814, 2.7355732917785645, 2.1309776306152344, 2.378526449203491, 2.574066400527954, 2.3569400310516357, 2.1025164127349854, 2.651721239089966, 2.1613011360168457]","[0.0, 80.0, 0.0, 3.4, 0.1, 0.0, 0.1, 13.1, 0.0, 5.9]"
1,2.303371041631699,12.900745,"[2.378073215484619, 2.1689603328704834, 2.558110237121582, 2.170990467071533, 2.2522428035736084, 2.486504077911377, 2.388948917388916, 2.2013580799102783, 2.3719732761383057, 2.0647642612457275]","[0.0, 22.8, 0.0, 30.9, 3.2, 0.0, 0.0, 8.7, 7.4, 55.2]"
2,2.3049356361866,11.859575,"[2.3081912994384766, 2.2024452686309814, 2.5684964656829834, 2.1997792720794678, 2.2213902473449707, 2.4996752738952637, 2.532445192337036, 2.260432004928589, 2.190171480178833, 2.079066276550293]","[0.5, 20.7, 0.0, 12.1, 4.0, 0.0, 0.0, 3.0, 18.4, 58.9]"
3,2.3099552244663237,10.382055,"[2.393970489501953, 2.285858154296875, 2.588721513748169, 2.2833282947540283, 2.1296794414520264, 2.436359167098999, 2.5071444511413574, 2.2676150798797607, 2.229449987411499, 1.9887617826461792]","[0.0, 0.0, 0.0, 0.0, 6.9, 0.0, 0.0, 0.2, 0.1, 95.0]"
4,2.3057652291417123,11.90586,"[2.316652774810791, 2.1584532260894775, 2.568171262741089, 2.2161853313446045, 2.1991262435913086, 2.4668164253234863, 2.5300798416137695, 2.2809174060821533, 2.1224777698516846, 2.208892822265625]","[0.0, 29.0, 0.0, 7.4, 6.6, 0.0, 0.0, 0.2, 72.2, 3.4]"
5,2.3101619751095774,10.22084,"[2.291321277618408, 2.2871921062469482, 2.5944507122039795, 2.3499319553375244, 2.089509963989258, 2.4362401962280273, 2.5158705711364746, 2.3336868286132812, 2.248035430908203, 1.9711790084838867]","[0.0, 0.0, 0.0, 0.0, 1.2, 0.0, 0.0, 0.0, 0.0, 99.4]"
6,2.3035514832377437,10.71731,"[2.27354097366333, 2.162428617477417, 2.5227420330047607, 2.2519218921661377, 2.2062103748321533, 2.479339599609375, 2.482182741165161, 2.2798192501068115, 2.0999889373779297, 2.2871577739715576]","[0.1, 10.9, 0.0, 0.0, 2.1, 0.0, 0.0, 0.1, 93.8, 0.0]"
7,2.3138153070449827,10.200579999999999,"[2.2723207473754883, 2.318986654281616, 2.643697500228882, 2.422935724258423, 2.050992012023926, 2.4337174892425537, 2.522547483444214, 2.325890302658081, 2.2292590141296387, 1.9352149963378906]","[0.0, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0, 0.0, 99.8]"
8,2.303470769703388,10.035200000000001,"[2.2697081565856934, 2.1796209812164307, 2.5018703937530518, 2.2495901584625244, 2.2283687591552734, 2.4341626167297363, 2.430718183517456, 2.306689977645874, 2.067678928375244, 2.3731131553649902]","[0.1, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99.7, 0.0]"
9,2.327261278736591,10.210729999999998,"[2.2768797874450684, 2.3201143741607666, 2.725494384765625, 2.497260808944702, 1.96012282371521, 2.4581515789031982, 2.6523447036743164, 2.2934720516204834, 2.2503554821014404, 1.8595950603485107]","[0.0, 0.0, 0.0, 0.0, 0.7, 0.0, 0.0, 0.0, 0.0, 99.8]"
10,2.3054628010094165,10.025245,"[2.2247633934020996, 2.2262229919433594, 2.4219889640808105, 2.2457990646362305, 2.2625341415405273, 2.4132211208343506, 2.380277156829834, 2.378971815109253, 1.9886592626571655, 2.5173158645629883]","[0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0]"
11,2.3463893676042558,10.17015,"[2.295764446258545, 2.3832547664642334, 2.7369236946105957, 2.585465431213379, 1.8566160202026367, 2.510507583618164, 2.762619972229004, 2.2551896572113037, 2.3619539737701416, 1.7414429187774658]","[0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 100.0]"
12,2.3185900332629683,10.015,"[2.202761173248291, 2.1740996837615967, 2.475396156311035, 2.188237428665161, 2.3548407554626465, 2.3969056606292725, 2.341149091720581, 2.4224517345428467, 1.8976582288742065, 2.7333829402923584]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0]"
13,2.3632379899263385,10.16,"[2.337317943572998, 2.365964651107788, 2.7018680572509766, 2.7206227779388428, 1.8582932949066162, 2.5127270221710205, 2.7915103435516357, 2.1942038536071777, 2.5474586486816406, 1.627979040145874]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0]"
14,2.3309290766537187,10.015,"[2.102130174636841, 2.268378734588623, 2.535780429840088, 2.147937297821045, 2.391045570373535, 2.377187728881836, 2.359999179840088, 2.496769666671753, 1.7991474866867065, 2.833155393600464]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0]"
